Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor1,bom,210047,210137,0.0897658
Sensor1,bom,211047,211137,0.0901584
Sensor1,bom,212047,212137,0.0901906
Sensor1,bom,213047,213137,0.0901489
Sensor1,bom,214047,214137,0.0899782
Sensor1,bom,215047,215137,0.0898619
Sensor1,bom,216047,216137,0.0900169
Sensor1,bom,217047,217137,0.0900316
Sensor1,bom,218047,218137,0.0900416
Sensor1,bom,219047,219137,0.0901497
Sensor1,bom,220047,220137,0.0900338
Sensor1,bom,221047,221137,0.0899704
Sensor1,bom,222047,222137,0.08998
Sensor1,bom,223047,223137,0.089999
Sensor1,bom,224047,224137,0.0898812
Sensor1,bom,225047,225137,0.0898751
Sensor1,bom,226047,226137,0.0899201
Sensor1,bom,227047,227137,0.0899479
Sensor1,bom,228047,228137,0.0899844
Sensor1,bom,229047,229137,0.0900502
Sensor1,bom,230047,230137,0.0900259
Sensor1,bom,231047,231137,0.0899306
Sensor1,bom,232047,232137,0.0899516
Sensor1,bom,233047,233137,0.0900161
Sensor1,bom,234047,234137,0.0898251
Sensor1,bom,235047,235137,0.0899017
Sensor1,bom,236047,236137,0.0899889
Sensor1,bom,237047,237137,0.0898601
Sensor1,bom,238047,238137,0.0899349
Sensor1,bom,239048,239137,0.0896834
Sensor1,bom,240047,240137,0.0900866
Sensor1,bom,241047,241137,0.0901089
Sensor1,bom,242047,242137,0.0898492
Sensor2,bom,3.75309,3.93652,0.18343
Sensor2,bom,4.75329,4.93721,0.183926
Sensor2,bom,5.75324,5.93735,0.184114
Sensor2,bom,6.75525,6.93731,0.182059
Sensor2,bom,7.75505,7.9373,0.182249
Sensor2,bom,8.75498,8.93806,0.183076
Sensor2,bom,9.75513,9.93795,0.182822
Sensor2,bom,10.7549,10.9379,0.183016
Sensor2,bom,11.7549,11938,0.183044
Sensor2,bom,12.7552,12.9381,0.182897
Sensor2,bom,13.7551,13938,0.182945
Sensor2,bom,14.7552,14938,0.182804
Sensor2,bom,15.7549,15938,0.183077
Sensor2,bom,16755,16938,0.182992
Sensor2,bom,17755,17.9379,0.182905
Sensor2,bom,18.7549,18.9379,0.18297
Sensor2,bom,19.7549,19938,0.183125
Sensor2,bom,20755,20938,0.182938
Sensor2,bom,21.7551,21938,0.182938
Sensor2,bom,22.7553,22.9381,0.182733
Sensor2,bom,23.7553,23938,0.182785
Sensor2,bom,24.7553,24938,0.182712
Sensor2,bom,25.7551,25.9378,0.18275
Sensor2,bom,26.7549,26.9379,0.182963
Sensor2,bom,27.7553,27938,0.182659
Sensor2,bom,28.7552,28938,0.182735
Sensor2,bom,29755,29938,0.183008
Sensor2,bom,30.7551,30.9379,0.182851
Sensor2,bom,31.7551,31938,0.182865
Sensor2,bom,32.7551,32938,0.182892
Sensor2,bom,33.7549,33.9379,0.182947
Sensor2,bom,34755,34.9379,0.182967
Sensor2,bom,35.7552,35.9381,0.182933
Sensor2,bom,36.7551,36938,0.182926
Sensor2,bom,37.7552,37938,0.182788
Sensor2,bom,38755,38.9379,0.182975
Sensor2,bom,39.7553,39938,0.182717
Sensor2,bom,40.7553,40938,0.182704
Sensor2,bom,41.7553,41.9379,0.182554
Sensor2,bom,42.7548,42.9379,0.183006
Sensor2,bom,43755,43938,0.182949
Sensor2,bom,44.7552,44938,0.1828
Sensor2,bom,45.7553,45938,0.182711
Sensor2,bom,46.7553,46938,0.182675
Sensor2,bom,47.7552,47938,0.182798
Sensor2,bom,48.7552,48938,0.182766
Sensor2,bom,49.7551,49.9379,0.18278
Sensor2,bom,50.7549,50.9379,0.183039
Sensor2,bom,51.7551,51.9379,0.18284
Sensor2,bom,52.7552,52.9379,0.182727
Sensor2,bom,53.7549,53938,0.183085
Sensor2,bom,54.7552,54938,0.182741
Sensor2,bom,55755,55938,0.183031
Sensor2,bom,56.7553,56938,0.182705
Sensor2,bom,57.7551,57938,0.182886
Sensor2,bom,58.7551,58.9379,0.182761
Sensor2,bom,59755,59.9381,0.183049
Sensor2,bom,60.7552,60938,0.182815
Sensor2,bom,61.7552,61.9381,0.182926
Sensor2,bom,62.7551,62.9381,0.182951
Sensor2,bom,63.7551,63.9381,0.183049
Sensor2,bom,64.7551,64.9381,0.182907
Sensor2,bom,65.7553,65938,0.182728
Sensor2,bom,66.7551,66.9378,0.182679
Sensor2,bom,67.7551,67938,0.182861
Sensor2,bom,68755,68.9381,0.183057
Sensor2,bom,69.7551,69938,0.182983
Sensor2,bom,70.7553,70938,0.182701
Sensor2,bom,71.7552,71938,0.182764
Sensor2,bom,72.7552,72.9379,0.182777
Sensor2,bom,73.7552,73938,0.182844
Sensor2,bom,74.7549,74.9378,0.182889
Sensor2,bom,75755,75938,0.183015
Sensor2,bom,76.7551,76938,0.182863
Sensor2,bom,77.7549,77938,0.183059
Sensor2,bom,78755,78.9379,0.182885
Sensor2,bom,79.7553,79938,0.182679
Sensor2,bom,80.7553,80938,0.182725
Sensor2,bom,81.7553,81.9379,0.182615
Sensor2,bom,82.7549,82.9379,0.183024
Sensor2,bom,83.7551,83938,0.182915
Sensor2,bom,84.7551,84938,0.182901
