Tempo(s), Risco do Sensor, Nivel da Bateria,Delta Bateria, Diff(s),Mode
118,alto,-69.27,0.99,1.63658,Non-controlled
119,moderado,-70.26,0.08,0.67202,Non-controlled
119,baixo,-70.34,4.28,0.04801,Non-controlled
122,moderado,-74.62,0.22,2.93586,Non-controlled
122,baixo,-74.84,3.72,0.14753,Non-controlled
125,alto,-78.56,0.29,2.55658,Non-controlled
125,moderado,-78.85,0.15,0.19529,Non-controlled
125,baixo,-79,8.76,0.09799,Non-controlled
131,moderado,-87.76,0.15,6.00618,Non-controlled
131,baixo,-87.91,1.27,0.0968,Non-controlled
132,alto,-89.18,0.64,0.86351,Non-controlled
132,moderado,-89.82,0.22,0.43619,Non-controlled
133,baixo,-90.04,0.71,0.14783,Non-controlled
133,alto,-90.75,0.57,0.48018,Non-controlled
133,moderado,-91.32,0.08,0.3878,Non-controlled
134,baixo,-91.4,1.55,0.04753,Non-controlled
135,moderado,-92.95,0.08,1.06066,Non-controlled
135,baixo,-93.03,4.35,0.04684,Non-controlled
138,moderado,-97.38,0.08,2.98838,Non-controlled
138,baixo,-97.46,2.11,0.04817,Non-controlled
139,alto,-99.57,0.5,1.44463,Non-controlled
139,moderado,-100.07,0.08,0.33556,Non-controlled
139,baixo,-100.15,1.55,0.04821,Non-controlled
140.55,moderado,-101.7,0.15,1.0603,Non-controlled
141,alto,-101.85,0.15,0.09713,Non-controlled
141,moderado,-102,0.15,0.10009,Non-controlled
141,baixo,-102.15,5.82,0.09886,Non-controlled
145,alto,-107.97,0.78,3.98352,Non-controlled
145,moderado,-108.75,0.15,0.53192,Non-controlled
145,baixo,-108.9,0.22,0.09702,Non-controlled
146,moderado,-109.12,0.36,0.14716,Non-controlled
146,baixo,-109.48,0.71,0.24018,Non-controlled
146,moderado,-110.19,0.08,0.48399,Non-controlled
146,baixo,-110.27,1.62,0.04727,Non-controlled
147,alto,-111.89,0.29,1.10881,Non-controlled
148,moderado,-112.18,0.08,0.19602,Non-controlled
148,baixo,-112.26,0.64,0.04732,Non-controlled
