Sensor remetente, Estado do Paciente, Enviado às (s), Processado às (s), Diff (s)
Sensor4,medio,58.7632,58.8366,0.073401
Sensor1,medio,58848,58.9351,0.0871002
Sensor3,medio,58.9588,59.1351,0.17627
Sensor4,medio,59.2629,59.3352,0.072214
Sensor1,medio,59.3465,59.4352,0.0886402
Sensor3,medio,59.4587,59.6352,0.176458
Sensor0,medio,59.6408,59.8364,0.195657
Sensor2,medio,59.7516,59.8365,0.0849744
Sensor4,medio,59.7634,59.8366,0.0732825
Sensor1,medio,59.8482,59.9352,0.0869436
Sensor3,medio,59.9589,60.1351,0.176212
Sensor4,medio,60.2634,60.3352,0.0718129
Sensor1,medio,60.3465,60.4352,0.0886583
Sensor3,medio,60.4589,60.6352,0.176253
Sensor0,medio,60.6408,60.8365,0.195646
Sensor2,medio,60.7516,60.8366,0.0849234
Sensor4,medio,60.7633,60.8367,0.0733588
Sensor1,medio,60.8481,60.9352,0.0870445
Sensor3,medio,60.9586,61.1352,0.176537
Sensor4,medio,61263,61.3351,0.0721813
Sensor1,medio,61.3466,61.4351,0.0884999
Sensor3,medio,61.4589,61.6352,0.176255
Sensor0,medio,61.6409,61.8365,0.1956
Sensor2,medio,61.7516,61.8366,0.0849652
Sensor4,medio,61.7632,61.8367,0.0734121
Sensor1,medio,61.8485,61.9352,0.0866795
Sensor3,medio,61.9593,62.1352,0.175847
Sensor4,medio,62.2631,62.3352,0.0720821
Sensor1,medio,62.3465,62.4351,0.0886419
Sensor3,medio,62459,62.6352,0.176157
Sensor0,medio,62.6409,62.8365,0.195608
Sensor2,medio,62.7516,62.8366,0.0849337
Sensor4,medio,62.7633,62.8366,0.0733026
Sensor1,medio,62.8483,62.9352,0.086897
Sensor3,medio,62.9591,63.1352,0.176013
Sensor4,medio,63.2631,63.3351,0.0720078
Sensor1,medio,63.3465,63.4351,0.0886292
Sensor3,medio,63.4591,63.6352,0.176103
Sensor0,medio,63.6408,63.8365,0.195705
Sensor2,medio,63.7516,63.8366,0.0849596
Sensor4,medio,63.7633,63.8367,0.0733449
Sensor1,medio,63.8484,63.9351,0.086671
Sensor3,medio,63.9584,64.1351,0.176714
Sensor4,medio,64.2631,64.3351,0.0719345
Sensor1,medio,64.3465,64.4351,0.0886031
Sensor3,medio,64.4587,64.6351,0.176402
Sensor0,medio,64.6408,64.8364,0.195621
Sensor2,medio,64.7516,64.8365,0.084933
Sensor4,medio,64.7633,64.8366,0.0732885
Sensor1,medio,64.8481,64935,0.0868938
Sensor3,medio,64.9586,65135,0.176418
Sensor4,medio,65.2628,65335,0.0722539
Sensor1,medio,65.3465,65.4352,0.0886899
Sensor3,medio,65459,65.6351,0.176089
Sensor0,medio,65.6407,65.8364,0.195699
Sensor2,medio,65.7514,65.8365,0.0850738
Sensor4,medio,65.7631,65.8366,0.0735272
Sensor1,medio,65848,65.9351,0.0870311
Sensor3,medio,65.9588,66.1351,0.17628
Sensor4,medio,66.2628,66335,0.0722006
Sensor1,medio,66.3465,66.4351,0.0885766
Sensor3,medio,66.4586,66635,0.176456
Sensor0,medio,66.6407,66.8363,0.195592
Sensor2,medio,66.7514,66.8364,0.0849654
Sensor4,medio,66.7632,66.8365,0.0733235
Sensor1,medio,66.8478,66935,0.0872888
Sensor3,medio,66.9586,67.1351,0.176514
Sensor4,medio,67263,67.3351,0.0720948
Sensor1,medio,67.3464,67.4351,0.0887059
Sensor3,medio,67.4588,67.6352,0.176399
Sensor0,medio,67.6409,67.8364,0.195494
Sensor2,medio,67.7515,67.8365,0.0850261
Sensor4,medio,67.7632,67.8366,0.0733806
Sensor1,medio,67.8482,67.9351,0.0868857
Sensor3,medio,67.9587,68.1351,0.176366
Sensor4,medio,68.2631,68.3351,0.0720271
Sensor1,medio,68.3466,68.4351,0.0885578
Sensor3,medio,68.4587,68635,0.176341
Sensor0,medio,68.6407,68.8363,0.195586
Sensor2,medio,68.7515,68.8364,0.084927
Sensor4,medio,68763,68.8365,0.0734454
Sensor1,medio,68.8487,68935,0.086336
Sensor3,medio,68.9588,69135,0.176223
Sensor4,medio,69.2631,69335,0.0719458
Sensor1,medio,69.3463,69435,0.0886538
Sensor3,medio,69.4586,69635,0.176331
Sensor0,medio,69.6406,69.8364,0.195796
Sensor2,medio,69.7514,69.8365,0.0850259
Sensor4,medio,69.7631,69.8365,0.0734169
Sensor1,medio,69.8479,69935,0.08706
Sensor3,medio,69.9585,70.1349,0.176447
Sensor4,medio,70.2629,70335,0.0721099
Sensor1,medio,70.3462,70.4351,0.0888445
Sensor3,medio,70.4586,70.6351,0.17648
Sensor0,medio,70.6407,70.8364,0.195698
Sensor2,medio,70.7514,70.8365,0.0850805
Sensor4,medio,70.7631,70.8366,0.0734507
Sensor1,medio,70.8482,70.9351,0.0869392
Sensor3,medio,70.9585,71135,0.176517
Sensor4,medio,71263,71335,0.0720082
Sensor3,medio,71.4571,71.6351,0.17802
Sensor0,medio,71.6407,71.8364,0.195693
Sensor2,medio,71.7514,71.8365,0.08509
Sensor4,medio,71.7632,71.8366,0.0734176
Sensor1,medio,71.8479,71935,0.0870782
Sensor3,medio,71.9588,72.1349,0.176149
Sensor4,medio,72.2629,72335,0.0720956
Sensor3,medio,72.4571,72635,0.177951
Sensor0,medio,72.6406,72.8363,0.195672
Sensor2,medio,72.7513,72.8364,0.0850776
Sensor4,medio,72763,72.8365,0.0734829
Sensor1,medio,72848,72935,0.0870245
Sensor3,medio,72.9584,73135,0.176547
Sensor4,medio,73.2629,73335,0.0720845
Sensor3,medio,73.4571,73.6351,0.177981
Sensor0,medio,73.6407,73.8363,0.195647
Sensor2,medio,73.7512,73.8365,0.0852516
Sensor4,medio,73.7629,73.8365,0.0736361
Sensor1,medio,73.8478,73935,0.0871985
Sensor3,medio,73.9588,74135,0.176187
Sensor4,medio,74.2629,74335,0.0721495
