Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor2,bom,312391,312.44,0.0497716
Sensor2,bom,313607,313657,0.0499146
Sensor2,bom,314821,314.87,0.0496733
Sensor2,bom,316031,316081,0.0503168
Sensor2,bom,317242,317292,0.0495379
Sensor2,bom,318455,318505,0.0496837
Sensor2,bom,319664,319714,0.0497715
Sensor2,bom,320877,320927,0.0498685
Sensor2,bom,322091,322141,0.0497181
Sensor2,bom,323306,323356,0.0498463
Sensor2,bom,324524,324573,0.0493208
Sensor2,bom,325739,325789,0.0494773
Sensor3,bom,10.6583,10.7311,0.0728318
Sensor3,bom,11658,11734,0.075926
Sensor3,bom,12.6607,12.7312,0.070522
Sensor3,bom,13.6655,13.7313,0.0658003
Sensor3,bom,14.6715,14.7312,0.0596513
Sensor3,bom,15.6869,15.7312,0.0443514
Sensor3,bom,16.6843,16.7313,0.0469416
Sensor3,bom,17.7507,17.7937,0.042938
Sensor3,bom,18.8363,18.8792,0.0429048
Sensor3,bom,20.0014,20.0464,0.044971
Sensor3,bom,21.2119,21.2554,0.0434508
Sensor3,bom,22.4257,22.4695,0.0437617
Sensor3,bom,23.6378,23.6814,0.0436095
Sensor3,bom,24.8483,24892,0.0437152
Sensor3,bom,26.0638,26.1074,0.0435273
Sensor3,bom,27.2718,27.3162,0.0443442
Sensor3,bom,28.4826,28.5262,0.0435728
Sensor3,bom,29.6936,29.7373,0.0437093
Sensor3,bom,30.9054,30.9493,0.0439093
Sensor3,bom,32.1196,32.1636,0.0439475
Sensor3,bom,33.3337,33.3777,0.0439409
Sensor3,bom,34.5488,34.5926,0.0437575
Sensor3,bom,35.7644,35.8082,0.0437542
Sensor3,bom,36.9764,37.0199,0.0435626
Sensor3,bom,38.1911,38.2351,0.043928
Sensor3,bom,39.4042,39.4478,0.0436158
Sensor3,bom,40618,40.6615,0.0435318
Sensor3,bom,41.8314,41.8753,0.0438666
Sensor3,bom,43.0451,43.0895,0.0444127
Sensor3,bom,44.2574,44.3012,0.0437433
Sensor3,bom,45.4696,45.5133,0.0437303
Sensor3,bom,46.6811,46.7253,0.0441648
Sensor3,bom,47897,47941,0.0440217
Sensor3,bom,49.1092,49.1529,0.0436951
Sensor3,bom,50.3206,50.3645,0.0438818
Sensor3,bom,51.5345,51.5782,0.0436494
Sensor3,bom,52.7418,52.7852,0.0433821
Sensor3,bom,53.9522,53.9959,0.0437459
Sensor3,bom,55.1612,55.2049,0.0437727
Sensor3,bom,56.3723,56.4161,0.0437203
Sensor3,bom,57.5864,57.63,0.0435998
Sensor3,bom,58.7998,58.8436,0.043807
Sensor3,bom,60.0135,60.0574,0.043844
Sensor3,bom,61.2218,61.2657,0.0438205
Sensor3,bom,62.4347,62.4785,0.0437795
Sensor3,bom,63.6493,63693,0.0437378
Sensor3,bom,64.8594,64.9033,0.0439131
Sensor3,bom,66.0733,66.1172,0.0439458
Sensor3,bom,67.2878,67.3314,0.0436096
Sensor3,bom,68.5031,68.5469,0.043786
Sensor3,bom,69.7158,69.7594,0.0435327
Sensor3,bom,70.9265,70.9702,0.0437061
Sensor3,bom,72.1377,72.1817,0.0440154
Sensor3,bom,73.3488,73393,0.0442948
Sensor3,bom,74.5632,74.6066,0.043476
Sensor3,bom,75.7743,75.8178,0.0434538
Sensor3,bom,76.9876,77.0314,0.0437961
Sensor3,bom,78.1972,78.2411,0.0438703
Sensor3,bom,79.4084,79.4527,0.0443127
Sensor3,bom,80627,80.6705,0.0435666
Sensor3,bom,81.8403,81.8842,0.0438366
Sensor3,bom,83.0605,83.1042,0.0436785
Sensor3,bom,84.2737,84.3173,0.0435892
Sensor3,bom,85.4889,85.5329,0.0439122
Sensor3,bom,86.6987,86.7422,0.0435136
Sensor3,bom,87.9081,87.9517,0.0436318
Sensor3,bom,89.1203,89164,0.0436753
Sensor3,bom,90.3358,90.3799,0.0440849
Sensor3,bom,91.5479,91.5915,0.0436543
Sensor3,bom,92.7579,92.8017,0.0438368
Sensor3,bom,93.9688,94.0126,0.0438458
Sensor3,bom,95.1854,95.2295,0.0440835
Sensor3,bom,96.3999,96.4439,0.0439755
Sensor3,bom,97.6111,97.6551,0.0439959
Sensor3,bom,98.8246,98.8685,0.0439396
Sensor3,bom,100039,100083,0.0438828
Sensor3,bom,101255,101299,0.0442278
Sensor3,bom,102472,102515,0.0439256
Sensor3,bom,103688,103732,0.043605
Sensor3,bom,104903,104947,0.0438537
Sensor3,bom,106117,106161,0.0438104
Sensor3,bom,107331,107375,0.0436619
Sensor3,bom,108543,108587,0.0440445
Sensor3,bom,109755,109799,0.0439789
Sensor3,bom,110967,111011,0.0441466
Sensor3,bom,112175,112219,0.0440143
Sensor3,bom,113386,113.43,0.043967
Sensor3,bom,114601,114645,0.0438674
Sensor3,bom,115811,115855,0.0440888
Sensor3,bom,117024,117068,0.0436931
Sensor3,bom,118239,118283,0.0441889
Sensor3,bom,119452,119495,0.043597
Sensor3,bom,120664,120707,0.0436184
